"034","ﾏﾘｰｼﾞｮﾝﾃｨｰﾕﾌﾟﾁ","1030","14","000","X57","220","620","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","220","501","X57","","","","","01","990","","","","03","","","","","","","20040520","20180220","20180220","20180220","","","","","20180220","20180220","","","","20180220","","","","","","","","","","","","","","","","","","","","","01","20180220","","","","","","","","","","","","","","","","","","","20180220","","","マリ－．Ｇ　プチ","","ﾏﾘ-.G ﾌﾟﾁ","","廃止","","W（HD）","【廃止】ﾏﾘｰｼﾞｮﾝﾃｨｰﾕ"
"035","ﾌﾞﾚｽﾌﾞﾘｰｼﾞｭ","4011","","","021","214","","00","","20100928","","20100928","221508","20180221","010001","","","","","","","214","510","021","","201601","","","07","007","","0001","","02","","","        ","","","","","20180220","20180220","20180220","","20160615","","","20180220","20180220","        ","20160615","        ","20180220","","","","","","","","","","","","","","","","","","","","","07","20180220","","","","","","","","","","","","","","","","","","","20180220","","","","","","","WAM（卸）","","WAM（卸）","ﾙｲｼｬﾝﾀﾝ"
"036","ﾄﾞﾚｽﾃﾘｱ Mens 買付け","2006","24","000","016","609","616","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","609","512","016","","200302","","0001","81","081","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","","","","","","","","","","","","","","","","","","22","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","DRESSTERIOR MB","","ドレステリアＭカイツケ","","ﾄﾞﾚｽﾃﾘｱMｶｲﾂｹ","","INT（セレクト）","","INT（セレクト）","ﾄﾞﾚｽﾃﾘｱ"
"037","ﾃﾞﾌｧｯｼｪ","4011","01","000","021","213","642","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","021","","","0001","","07","007","","","","03","","","","","","","20040520","20180220","20180220","20180220","","","20010716","","20180220","20180220","","","","20180220","","9","","","","","","","","","","","","","","","","","","","07","20180220","","","","","","","","","","","","","","","","","","","20180220","","","デフアツシエ","","ﾃﾞﾌｱﾂｼｴ","","WAM（卸）","","WAM（卸）","ﾙｲｼｬﾝﾀﾝ"
"038","ｴﾌｱ-ﾑ","4011","01","000","021","299","642","00","","20000510","99999999","20000620","143000","20070129","221504","","","00","","","00","299","199","021","","","0001","","","","","","","02","","","","","","","20040520","20070129","20070129","20070129","","","20010716","","","","","","","20070129","","","","","","","","","","","","","","","","","","","","","01","20071128","","","","","","","","","","","","","","","","","","","20070129","","","エフア－ム","","ｴﾌｱ-ﾑ","","","","",""
"039","【廃止】AfterAll Original","3022","10","000","C58","239","640","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","239","504","C58","","200302","","0001","61","061","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","01","","","","","","","","","","","","","","","","","04","20180220","20120730","20041118","","","","","","","","","","","","","","","","","20180220","AfterAll AP","","アフタ－オ－ルアパレル","","ｱﾌﾀ-ｵ-ﾙｱﾊﾟﾚﾙ","","WLC（雑貨HDその他）","","WLC（雑貨HDその他）","INDEX"
"040","THE SHOP TK ﾚﾃﾞｨｰｽ","2094","","","616","642","","00","","20080409","","20080409","221511","20180221","010001","","01","","","","","642","508","616","","200801","","","05","005","01","","01","01","","","20080416","","","","","20180220","20180220","20180220","","20080416","","","20180220","20180220","20080416","        ","20080416","20180220","","","01","","","","","","","","","","","","","","","","","","05","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","","","","","SF（RSC）","","SF（RSC）","THE SHOP TK"
"041","【廃止】TAKEO（ｱﾊﾟﾚﾙ）","1010","","000","070","441","","00","","20010207","","20010207","200550","20180221","010001","","01","00","","","01","441","503","070","","200701","","","03","003","01","","01","01","","","20070419","","","","20040105","20180220","20180220","20180220","","20070419","","","20180220","20180220","20070419","        ","20070419","20180220","","","01","","","","","","","","","","","","","","","","","","03","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ラ．ロトンダ　　　　＃","","","","EXT（Mens）","","EXT（Mens）","ﾀｹｵｷｸﾁ"
"042","ﾘﾅｼｪﾝﾃ","2220","","","713","214","","00","","20080410","","20080410","221505","20180221","010001","","","","","","","214","510","713","","200801","","","07","007","","0001","","02","","","        ","","","","","20180220","20180220","20180220","","20080421","","","20180220","20180220","        ","20080421","        ","20180220","","4","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","","","","","WAM（卸）","","WAM（卸）","WRS"
"043","【廃止】ﾏﾄﾘｰﾁｪ","2003","07","000","545","243","600","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","243","502","545","","200302","","0001","02","002","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","01","01","","","","","","","","","","","","","","","","02","20180220","20120730","20041118","20060901","","","","","","","","","","","","","","","","20180220","VOICEMAIL","成長期Ⅰ","ＶＯＩＣＥＭＡＩＬ","","VOICEMAIL","","FI（百貨店）","","FI（百貨店）","ｽｰﾅｳｰﾅ"
