"1212","2133  ","la cream ABAHOUSE Devinette","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13053","unicage","20180227","1","20180227","unicage","20180227"
"1213","2134  ","Rouge vif","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13054","unicage","20180227","1","20180227","unicage","20180227"
"1214","2135  ","Rouge vif la cle","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13055","unicage","20180227","1","20180227","unicage","20180227"
"1215","2136  ","AFRICA TARO","1160","2010/08/03 20:18:29","system  ","2011/02/14 14:38:13","system  ","c","13056","unicage","20180227","1","20180227","unicage","20180227"
"1216","2137  ","ｱｼﾞｱﾝ･ﾓﾓｺ","1160","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13057","unicage","20180227","1","20180227","unicage","20180227"
"1217","2138  ","ｱﾌﾘｶﾀﾛｳ空を翔びたい","1160","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13058","unicage","20180227","1","20180227","unicage","20180227"
"1218","2139  ","ﾐｰｱｷｬｯﾄ","1160","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13059","unicage","20180227","1","20180227","unicage","20180227"
"1219","2140  ","ﾐﾗｸﾙﾅﾃﾞｼｺ","1160","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13060","unicage","20180227","1","20180227","unicage","20180227"
"1220","2141  ","ﾓﾝｷｰﾊﾞﾅﾅ","1160","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13061","unicage","20180227","1","20180227","unicage","20180227"
"1221","2142  ","Avail","1161","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13062","unicage","20180227","1","20180227","unicage","20180227"
"1222","2143  ","JELLY BEANS","1162","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13063","unicage","20180227","1","20180227","unicage","20180227"
"1223","2144  ","ｼﾞｪﾘｰﾋﾞｰﾝｽﾞ","1162","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","d","13064","unicage","20180227","1","20180227","unicage","20180227"
"1224","2145  ","Amerikaya","1163","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13065","unicage","20180227","1","20180227","unicage","20180227"
"1225","2146  ","AMERICAN RAG CIE","1164","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13066","unicage","20180227","1","20180227","unicage","20180227"
"1226","2147  ","ALDELUXE","1165","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13067","unicage","20180227","1","20180227","unicage","20180227"
"1227","2148  ","mysty woman","1165","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13068","unicage","20180227","1","20180227","unicage","20180227"
"1228","2149  ","PAGEBOY","1165","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13069","unicage","20180227","1","20180227","unicage","20180227"
