"93","6130","ﾎﾞﾝﾍﾞﾙﾀ伊勢甚G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"94","6210","ｻﾞｲﾏｯｸｽG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"95","6260","ＪＲ東日本ｱﾄﾚG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"96","6270","ｲｽﾞﾐG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"97","6290","ｻﾝｴｰG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"98","6360","森ﾋﾞﾙG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"99","6400","三菱商事G","ﾐﾂﾋﾞｼｼｮｳｼﾞ","2010-05-14 19:38:24","system  ","2012-05-30 16:38:45","01092396","c"
"100","7322","双日G","ｿｳｼﾞﾂ","2010-05-14 19:38:24","system  ","2014-02-06 10:29:31","13001861","c"
"101","7330","日本毛織G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"102","7331","富山ﾌｭｰﾁｬｰ開発G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"103","7332","野村不動産ﾎｰﾙﾃﾞｨﾝｸﾞｽG","ﾉﾑﾗﾌﾄﾞｳｻﾝﾎｰﾙﾃﾞｨﾝｸﾞｽ","2010-05-14 19:38:24","system  ","2014-02-06 10:30:20","13001861","c"
"104","7339","ｻﾝﾘﾌﾞG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"105","7347","ｵｰｸﾜG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"106","7349","東急電鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"107","7351","ﾔｵｺｰG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"108","7352","JR四国G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"109","7353","阪神電鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"110","7354","大和ﾊｳｽG","ﾀﾞｲﾜﾊｳｽ","2010-05-14 19:38:24","system  ","2014-02-06 10:30:37","13001861","c"
"111","7355","松屋G","ﾏﾂﾔ","2010-05-14 19:38:24","system  ","2011-06-08 11:29:41","13000453","c"
"112","9980","ﾜｰﾙﾄﾞG(自社路面)","ﾜｰﾙﾄﾞ(ｼﾞｼｬﾛﾒﾝ)","2010-05-14 19:38:24","system  ","2014-02-06 10:31:06","13001861","c"
"113","2309","大阪市交通局G","ｵｵｻｶｼｺｳﾂｳｷｮｸ","2011-01-25 14:43:44","13001492","2011-01-25 14:55:14","13001492","c"
"114","7356","ｳｫﾙﾏｰﾄG","ｳｫﾙﾏｰﾄ","2011-06-08 11:27:41","13000453","2011-06-08 11:41:57","13001861","c"
"115","7357","ｴﾏﾙｼｪG","ｴﾏﾙｼｪ","2011-06-08 11:28:42","13000453","2011-06-08 11:28:42","13000453","a"
"116","7358","ｻﾝﾘﾌﾞ･ﾏﾙｼｮｸG","ｻﾝﾘﾌﾞ ﾏﾙｼｮｸ","2011-06-08 11:29:06","13000453","2014-02-06 10:40:00","13001861","c"
"117","7359","ﾄﾞﾝｷﾎｰﾃG","ﾄﾞﾝｷﾎｰﾃ","2011-06-08 11:29:25","13000453","2011-06-08 11:29:25","13000453","a"
"118","7360","阪急阪神ﾎｰﾙﾃﾞｨﾝｸﾞｽG","ﾊﾝｷｭｳﾊﾝｼﾝﾎｰﾙﾃﾞｨﾝｸﾞｽ","2011-06-08 11:47:10","13000453","2011-06-08 11:47:10","13000453","a"
"119","7361","東京建物G","ﾄｳｷｮｳﾀﾃﾓﾉ","2013-01-16 17:05:41","13001861","2013-01-16 17:05:41","13001861","a"
"120","7362","ｷﾘﾝﾎｰﾙﾃﾞｨﾝｸﾞｽG","ｷﾘﾝﾎｰﾙﾃﾞｨﾝｸﾞｽ","2014-02-06 10:19:59","13001861","2014-02-06 10:24:11","13001861","c"
"121","0152","その他(ﾕﾆｯﾄ)G","ｿﾉﾀ(ﾕﾆｯﾄ)","2014-02-06 10:21:55","13001861","2014-02-06 10:24:41","13001861","c"
"122","7363","ﾕﾆﾓｰﾙG","ﾕﾆﾓｰﾙ","2014-02-06 10:23:09","13001861","2014-02-06 10:24:22","13001861","c"
"123","7364","福岡地所G","ﾌｸｵｶﾁｼｮ","2014-02-06 10:23:24","13001861","2014-02-06 10:24:30","13001861","c"
