"80","ﾙﾓﾝﾃﾞｸﾞﾙﾒ","ルモンデグルメ","","","","","","","0000000000","","11002","0","0","PATCH CSK","20100129201757","J201001-XXX-CSK","","","","1","20180223","",""
"81","ﾌｱﾂｼﾖﾝ SE","フアツシヨン　ＳＥ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"82","ｴﾙｴﾑｼﾞｰ","エルエムジー","","","","","","","0000000000","","11002","0","1","IKO","20060106235939","会社M.xls","","PATCH SCSK","20131213143215","1","20180223","",""
"83","ｹﾝｺｳﾎｹﾝｸﾐｱｲ","ケンコウホケンクミアイ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"84","ｽﾃｰﾄﾗﾝﾄﾞ","ステートランド","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"85","ｴｽﾌﾟﾘ ﾂｰﾘｽﾄ","エスプリ　ツーリスト","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"86","ﾜｰﾙﾄﾞﾌﾗﾝﾁｬｲｽﾞｼｽﾃﾑｽﾞ","ワールドフランチャイズシステムズ","","","","","","","0000000000","","11002","0","0","PATCH CSK","20120529141750","J201205-XXX-CSK","","PATCH CSK","20120529141750","1","20180223","",""
"87","ｾﾝﾜ","株式会社センワ","","","","","","","0000000000","","11002","0","0","PATCH SCSK","20150129141720","01-00010924","","PATCH SCSK","20150129141720","1","20180223","",""
"88","日本ｱﾊﾟﾚﾙﾌｧｯｼｮﾝ産業協会","日本アパレルファッション産業協会","","","","","","","0000000000","","11002","0","0","PATCH SCSK","20171023170808","01-00053080","","PATCH SCSK","20171023170808","1","20180223","",""
"89","ﾉｰﾌﾞﾙｸﾞｰ","ノーブルグー","","","","","","","0000000000","","11002","0","0","PATCH SCSK","20171023170847","01-00053110","","PATCH SCSK","20171023170847","1","20180223","",""
"90","ﾌｧｽﾃｯｸｱﾝﾄﾞｿﾘｭｰｼｮﾝｽﾞ","ファステックアンドソリューションズ","","","","","","","0000000000","","11002","0","0","PATCH SCSK","20171011200252","01-00055928","","PATCH SCSK","20171011200252","1","20180223","",""
